Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct,is_kept
IL12R,TBET_2,unknown,Fake,6,,,TAKEN_OUT
IL12R,NFKB,unknown,Fake,6,,,TAKEN_OUT
IL12R,STAT6,unknown,Fake,6,,,TAKEN_OUT
IL12R,SMAD3,unknown,Fake,6,,,TAKEN_OUT
IL12R,STAT1_2,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL4,unknown,Fake,6,,,TAKEN_OUT
IL12R,STAT3,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL25,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL9,unknown,Fake,6,,,TAKEN_OUT
IL12R,TGFBR,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL5,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL1R,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL6,unknown,Fake,6,,,TAKEN_OUT
IL12R,IL12RB1_2,unknown,Fake,6,,,TAKEN_OUT
